File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/services/companies/first_offer/step_one/form_params_service.rb",100,25,8,8,0
"./app/services/companies/first_offer/step_one_service.rb",100,11,6,6,0
"./app/services/companies/first_offer/step_six/form_params_service.rb",100,27,11,11,0
"./app/services/companies/first_offer/step_six_service.rb",96,39,23,22,1
"./app/services/companies/first_offer/step_three/form_params_service.rb",100,37,15,15,0
"./app/services/companies/first_offer/step_three_service.rb",100,45,25,25,0
"./app/services/companies/first_offer/step_two/form_params_service.rb",100,7,2,2,0
"./app/services/companies/first_offer/step_two_service.rb",100,11,6,6,0
"./app/services/offers/applied_offer_service.rb",100,15,6,6,0
"./app/services/offers/index_service.rb",100,18,7,7,0
"./app/services/offers/show_service.rb",100,70,25,25,0
"./app/services/offers/views_service.rb",100,67,25,25,0
"./app/services/offers_service.rb",100,30,14,14,0
"./app/services/users/wizard_service.rb",100,39,18,18,0
"./app/services/users/wizards/step_eight/form_params_service.rb",100,62,24,24,0
"./app/services/users/wizards/step_eight_service.rb",100,29,15,15,0
"./app/services/users/wizards/step_eleven/form_params_service.rb",100,38,17,17,0
"./app/services/users/wizards/step_five/form_params_service.rb",96,68,25,24,1
"./app/services/users/wizards/step_five_service.rb",100,17,9,9,0
"./app/services/users/wizards/step_four/form_params_service.rb",100,38,15,15,0
"./app/services/users/wizards/step_four_service.rb",100,7,3,3,0
"./app/services/users/wizards/step_nine/form_params_service.rb",100,41,15,15,0
"./app/services/users/wizards/step_nine_service.rb",100,31,16,16,0
"./app/services/users/wizards/step_one/form_params_service.rb",100,28,9,9,0
"./app/services/users/wizards/step_one_service.rb",100,10,5,5,0
"./app/services/users/wizards/step_seven/form_params_service.rb",100,13,5,5,0
"./app/services/users/wizards/step_six/form_params_service.rb",100,44,18,18,0
"./app/services/users/wizards/step_six_service.rb",100,37,20,20,0
"./app/services/users/wizards/step_ten/form_params_service.rb",93,35,14,13,1
"./app/services/users/wizards/step_ten_service.rb",100,20,10,10,0
"./app/services/users/wizards/step_three/form_params_service.rb",100,44,18,18,0
"./app/services/users/wizards/step_three_service.rb",100,5,3,3,0
"./app/services/users/wizards/step_two/form_params_service.rb",100,31,11,11,0
"./app/services/users/wizards/step_two_service.rb",100,9,4,4,0
"./lib/dates_converter.rb",100,5,3,3,0
"./lib/list_converter.rb",100,17,9,9,0
